Player,Nation,Age,Pos,Squad,Season,Min,Gls,Ast,xG,xA,npxG,xAG,G+A,Sh,SoT,G/Sh,G/SoT,PrgC,PrgP,PrgR,KP,1/3,PPA,CrsPA,Cmp%,TotDist,PrgDist,SCA,GCA,SCA90,GCA90,Tkl,TklW,Int,Blocks,Clr,Tkl+Int,Touches,Succ,Succ%,Carries,CrdY,CrdR,Fls,Fld,GA,Saves,Save%,CS,PSxG,PSxG+/-,#OPA,AvgDist,MP,Starts,90s,Mn/MP,PPM,+/-,+/-90,npxG+xAG,SoT%
Armel Bella Kotchap,de GER,19,DF,Bochum,2021-2022,1768.0,0.0,0.0,0.6,0.1,0.6,0.1,0.0,10.0,3.0,0.0,0.0,9,37,1,2,28,1,1,76.5,12193,3595,10,0,0.54,0.0,34.0,20,42,4,84,76,965,2,66.7,539,5,0,26,1,,,,,,,,,22,20,19.6,80,0.95,-17,-0.87,0.7,30.0
Raoul Bellanova,it ITA,21,"DF,FW",Cagliari,2021-2022,2496.0,1.0,2.0,1.7,2.7,1.7,3.5,3.0,23.0,5.0,0.04,0.2,81,46,146,32,40,27,21,71.5,11441,2944,66,8,2.38,0.29,29.0,15,21,29,51,50,1228,39,53.4,720,3,0,10,5,,,,,,,,,31,27,27.7,81,0.81,-27,-0.97,5.2,21.73913043478261
Karim Bellarabi,de GER,31,"FW,MF",Leverkusen,2021-2022,683.0,3.0,2.0,2.0,1.6,2.0,1.2,5.0,28.0,11.0,0.11,0.27,24,17,69,9,16,8,5,74.6,3116,874,28,4,3.69,0.53,9.0,4,9,10,4,18,366,17,51.5,239,2,0,20,4,,,,,,,,,16,9,7.6,43,1.94,17,2.24,3.2,39.285714285714285
Jean-Ricner Bellegarde,fr FRA,23,MF,Strasbourg,2021-2022,2332.0,2.0,3.0,1.9,2.4,1.9,2.7,5.0,31.0,7.0,0.06,0.29,75,107,90,23,75,18,2,81.6,14498,3130,52,5,2.01,0.19,51.0,32,27,22,19,78,1394,38,60.3,881,5,0,36,7,,,,,,,,,36,26,25.9,65,1.67,4,0.15,4.6,22.58064516129032
Héctor Bellerín,es ESP,26,DF,Betis,2021-2022,1979.0,0.0,2.0,0.5,3.0,0.5,2.1,2.0,10.0,2.0,0.0,0.0,43,75,103,26,49,20,7,76.7,12134,4764,47,7,2.14,0.32,52.0,32,23,27,57,75,1285,22,52.4,596,2,1,23,0,,,,,,,,,23,22,22.0,86,1.87,17,0.77,2.6,20.0
Jude Bellingham,eng ENG,18,MF,Dortmund,2021-2022,2790.0,3.0,8.0,4.8,4.6,4.8,6.0,11.0,44.0,12.0,0.07,0.25,78,144,138,38,104,37,3,82.8,19850,4875,105,18,3.39,0.58,52.0,34,42,25,32,94,1958,55,57.3,1243,9,0,39,11,,,,,,,,,32,32,31.0,87,2.06,30,0.97,10.8,27.27272727272727
George Bello,us USA,19,DF,Arminia,2021-2022,434.0,0.0,0.0,0.1,0.4,0.1,0.2,0.0,3.0,0.0,0.0,,9,13,18,2,9,1,0,76.0,2023,629,5,0,1.04,0.0,7.0,7,6,0,11,13,234,9,40.9,114,0,0,4,1,,,,,,,,,10,3,4.8,43,0.2,-10,-2.07,0.30000000000000004,0.0
Jeanuël Belocian,fr FRA,16,DF,Rennes,2021-2022,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,80.0,126,46,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,,10,0,0,0,0,,,,,,,,,1,0,0.1,12,3.0,-1,-7.5,0.0,
Andrea Belotti,it ITA,27,FW,Torino,2021-2022,1371.0,8.0,1.0,7.9,0.6,5.6,0.7,9.0,55.0,17.0,0.09,0.29,25,24,117,10,18,3,0,68.3,3263,432,38,4,2.49,0.26,7.0,3,2,17,9,9,551,15,60.0,318,1,0,26,9,,,,,,,,,22,16,15.2,62,1.05,-2,-0.13,6.3,30.909090909090907
Fran Beltrán,es ESP,22,MF,Celta Vigo,2021-2022,2597.0,1.0,0.0,0.4,0.8,0.4,0.3,1.0,20.0,4.0,0.05,0.25,18,131,22,11,122,8,4,90.6,31485,7076,38,1,1.32,0.03,56.0,41,32,16,39,88,2177,19,70.4,1317,4,0,17,1,,,,,,,,,37,31,28.9,70,1.24,6,0.21,0.7,20.0
Hatem Ben Arfa,fr FRA,34,"FW,MF",Lille,2021-2022,314.0,0.0,1.0,0.3,1.1,0.3,0.7,1.0,3.0,1.0,0.0,0.0,12,14,18,6,5,4,0,86.3,1922,355,13,2,3.73,0.57,4.0,2,0,1,1,4,190,7,46.7,130,1,0,7,0,,,,,,,,,7,4,3.5,45,1.29,-2,-0.57,1.0,33.33333333333333
Salim Ben Seghir,fr FRA,18,MF,Marseille,2021-2022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,1,0,0.0,1,3.0,0,0.0,0.0,
Wissam Ben Yedder,fr FRA,30,FW,Monaco,2021-2022,2529.0,25.0,5.0,18.0,5.0,11.7,5.0,30.0,64.0,36.0,0.27,0.47,59,73,238,32,32,31,0,72.1,6662,1285,71,14,2.53,0.5,18.0,8,0,12,1,18,939,25,43.9,583,3,0,19,5,,,,,,,,,37,29,28.1,68,1.84,22,0.78,16.7,56.25
Marco Benassi,it ITA,26,"DF,MF",Fiorentina,2021-2022,158.0,0.0,0.0,0.1,0.2,0.1,0.1,0.0,3.0,0.0,0.0,,3,11,6,1,9,1,0,81.2,1918,573,1,0,0.56,0.0,1.0,0,3,4,3,4,146,1,100.0,75,1,0,4,0,,,,,,,,,6,1,1.8,26,0.5,-2,-1.14,0.2,0.0
Marco Benassi,it ITA,26,MF,Empoli,2021-2022,382.0,0.0,0.0,0.9,0.4,0.9,0.5,0.0,7.0,3.0,0.0,0.0,13,23,29,4,14,5,0,67.2,1907,598,7,0,1.65,0.0,6.0,3,3,10,6,9,216,1,25.0,119,1,0,5,1,,,,,,,,,12,3,4.2,32,0.42,-8,-1.88,1.4,42.857142857142854
Darío Benedetto,ar ARG,31,"FW,MF",Elche,2021-2022,590.0,2.0,1.0,2.0,0.3,2.0,0.9,3.0,18.0,6.0,0.11,0.33,6,14,25,4,10,4,0,64.3,1311,310,12,3,1.84,0.46,5.0,1,1,2,1,6,177,10,55.6,110,1,0,3,0,,,,,,,,,14,6,6.6,42,0.93,1,0.15,2.9,33.33333333333333
Darío Benedetto,ar ARG,31,"FW,MF",Marseille,2021-2022,54.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,3.0,0.0,0.0,,1,2,2,1,1,0,0,75.0,153,32,1,0,1.67,0.0,0.0,0,0,0,0,0,19,0,0.0,12,0,0,0,0,,,,,,,,,2,0,0.6,27,2.0,3,5.0,0.3,0.0
László Bénes,sk SVK,23,MF,Gladbach,2021-2022,246.0,0.0,0.0,0.6,0.8,0.6,0.6,0.0,7.0,5.0,0.0,0.0,6,13,9,5,15,1,0,73.8,2401,748,14,1,5.12,0.37,5.0,3,2,1,5,7,223,1,33.3,123,0,0,1,1,,,,,,,,,13,2,2.7,19,1.31,0,0.0,1.2,71.42857142857143
Walter Benítez,ar ARG,28,GK,Nice,2021-2022,3330.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,6,1,0,75.0,20536,15856,3,1,0.08,0.03,0.0,0,0,0,12,0,1103,0,,651,2,0,0,0,35.0,105.0,78.0,14.0,42.6,7.6,33.0,13.6,37,37,37.0,90,1.81,17,0.46,0.0,
Iker Benito,es ESP,18,"FW,MF",Osasuna,2021-2022,118.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,3.0,1.0,0.0,0.0,2,3,7,1,1,1,1,65.5,240,91,2,0,1.53,0.0,2.0,1,0,1,2,2,52,2,33.3,30,1,0,1,0,,,,,,,,,4,1,1.3,30,1.0,-4,-3.05,0.2,33.33333333333333
Loris Benito,ch SUI,29,DF,Bordeaux,2021-2022,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,5,0,0,1,0,0,80.8,781,289,0,0,0.0,0.0,0.0,0,1,0,3,1,61,0,,39,0,0,1,0,,,,,,,,,1,1,0.7,61,0.0,0,0.0,0.0,
Pedro Benito,es ESP,21,FW,Cádiz,2021-2022,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,1,0,1,0,0,60.0,47,7,0,0,0.0,0.0,0.0,0,0,0,0,0,7,0,,6,0,0,3,0,,,,,,,,,1,0,0.3,31,1.0,0,0.0,0.0,
Filip Benković,hr CRO,24,"DF,FW",Udinese,2021-2022,8.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,80.0,63,15,0,0,0.0,0.0,0.0,0,0,0,0,0,6,0,,2,0,0,1,0,,,,,,,,,2,0,0.1,4,1.5,1,11.25,0.1,100.0
Ismaël Bennacer,dz ALG,23,MF,Milan,2021-2022,1525.0,2.0,1.0,0.7,2.2,0.7,1.4,3.0,16.0,6.0,0.13,0.33,28,140,34,22,119,21,2,86.2,16910,5262,61,3,3.6,0.18,44.0,30,25,9,15,69,1293,36,76.6,790,7,0,25,3,,,,,,,,,31,15,16.9,49,2.32,15,0.89,2.0999999999999996,37.5
Keanan Bennetts,eng ENG,22,"FW,DF",Gladbach,2021-2022,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,3,0,3,0,2,0,0,68.0,265,21,0,0,0.0,0.0,2.0,0,0,1,0,2,39,3,42.9,19,1,0,2,0,,,,,,,,,4,0,0.6,13,0.5,1,1.8,0.0,0.0
Saïd Benrahma,dz ALG,25,"FW,MF",West Ham,2021-2022,2168.0,8.0,6.0,4.8,3.3,4.8,3.7,14.0,63.0,20.0,0.13,0.4,73,73,222,32,37,29,10,75.1,8891,2023,75,8,3.11,0.33,28.0,17,9,27,8,37,1121,37,46.3,725,0,0,9,3,,,,,,,,,32,26,24.1,68,1.53,17,0.71,8.5,31.746031746031743
Ramy Bensebaini,dz ALG,26,DF,Gladbach,2021-2022,2020.0,4.0,1.0,3.7,1.3,2.1,0.9,5.0,28.0,7.0,0.07,0.29,26,72,66,13,53,10,3,81.2,18107,6272,31,4,1.45,0.19,42.0,30,39,26,77,81,1590,16,55.2,843,6,0,34,1,,,,,,,,,23,22,22.4,88,1.09,-11,-0.49,3.0,25.0
Nabil Bentaleb,dz ALG,26,MF,Angers,2021-2022,1515.0,1.0,0.0,0.6,0.4,0.6,0.1,1.0,15.0,7.0,0.07,0.14,12,82,16,3,81,5,0,82.7,13017,4028,18,1,1.07,0.06,42.0,24,28,11,13,70,1093,20,64.5,752,4,0,29,1,,,,,,,,,18,18,16.8,84,0.89,-8,-0.48,0.7,46.666666666666664
Rodrigo Bentancur,uy URU,24,MF,Tottenham,2021-2022,1361.0,0.0,4.0,0.8,1.4,0.8,2.6,4.0,14.0,2.0,0.0,0.0,20,76,11,15,81,4,2,89.5,14966,3399,38,7,2.51,0.46,36.0,18,20,14,35,56,1184,14,70.0,760,5,0,22,1,,,,,,,,,17,16,15.1,80,1.88,24,1.59,3.4000000000000004,14.285714285714285
Rodrigo Bentancur,uy URU,24,MF,Juventus,2021-2022,1155.0,0.0,1.0,0.7,0.8,0.7,0.9,1.0,8.0,1.0,0.0,0.0,22,79,32,11,81,3,0,86.9,10862,2857,36,3,2.81,0.23,32.0,18,26,11,15,58,887,7,63.6,521,1,0,25,0,,,,,,,,,19,13,12.8,61,2.05,7,0.55,1.6,12.5
Christian Benteke,be BEL,30,FW,Crystal Palace,2021-2022,1145.0,4.0,1.0,4.9,1.0,4.9,1.3,5.0,39.0,13.0,0.1,0.31,15,24,79,13,12,10,0,64.3,2718,483,23,2,1.81,0.16,3.0,2,2,3,33,5,450,9,69.2,203,3,0,16,2,,,,,,,,,25,11,12.7,46,1.16,-4,-0.31,6.2,33.33333333333333
Karim Benzema,fr FRA,33,FW,Real Madrid,2021-2022,2593.0,27.0,12.0,23.7,7.4,15.1,7.9,39.0,117.0,48.0,0.17,0.42,88,177,252,62,76,82,1,83.8,13822,3030,128,22,4.45,0.77,11.0,9,4,30,13,15,1501,36,70.6,976,0,0,13,1,,,,,,,,,32,31,28.8,81,2.44,42,1.46,23.0,41.02564102564102
Alessandro Berardi,it ITA,30,GK,Hellas Verona,2021-2022,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,43.3,437,298,0,0,0.0,0.0,0.0,0,0,0,0,0,32,0,,22,0,0,0,0,3.0,4.0,57.1,0.0,2.3,-0.7,0.0,,1,1,1.0,90,1.0,0,0.0,0.0,
Domenico Berardi,it ITA,26,FW,Sassuolo,2021-2022,2819.0,15.0,14.0,11.3,7.6,6.5,8.7,29.0,104.0,40.0,0.09,0.23,77,183,265,82,102,65,7,71.0,18710,5463,170,22,5.42,0.7,32.0,19,31,51,23,63,1804,30,44.1,1172,9,0,53,8,,,,,,,,,33,33,31.3,85,1.39,7,0.22,15.2,38.46153846153847
Yuri Berchiche,es ESP,31,DF,Athletic Club,2021-2022,1015.0,1.0,2.0,0.4,0.9,0.4,1.2,3.0,8.0,3.0,0.13,0.33,33,64,46,7,44,8,4,76.8,7612,3366,17,3,1.51,0.27,25.0,11,13,12,25,38,755,8,72.7,371,3,0,7,1,,,,,,,,,14,11,11.3,73,1.64,6,0.53,1.6,37.5
Álex Berenguer,es ESP,26,MF,Athletic Club,2021-2022,2168.0,3.0,6.0,5.2,5.4,4.5,5.4,9.0,45.0,14.0,0.07,0.21,59,77,202,43,33,25,12,62.5,8138,2773,77,10,3.2,0.41,45.0,26,16,41,20,61,1225,33,46.5,633,8,0,44,4,,,,,,,,,34,24,24.1,64,1.5,11,0.46,9.9,31.11111111111111
Bartosz Bereszyński,pl POL,29,DF,Sampdoria,2021-2022,2946.0,0.0,3.0,0.5,1.7,0.5,1.8,3.0,6.0,0.0,0.0,,52,105,108,20,77,28,12,77.9,18173,7708,54,7,1.65,0.21,64.0,38,42,43,73,106,1939,27,57.4,1011,12,0,34,2,,,,,,,,,35,35,32.7,84,1.03,-8,-0.24,2.3,0.0
Jóhann Berg Guðmundsson,is ISL,30,MF,Burnley,2021-2022,1102.0,0.0,1.0,1.6,0.8,1.6,0.5,1.0,19.0,5.0,0.0,0.0,27,16,75,6,7,11,9,61.3,2955,687,23,2,1.88,0.16,16.0,6,12,17,22,28,474,14,63.6,270,2,0,16,2,,,,,,,,,18,13,12.2,61,0.67,-9,-0.74,2.1,26.31578947368421
Patrick Berg,no NOR,23,MF,Lens,2021-2022,307.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,,4,15,1,1,13,1,0,82.1,2936,633,5,1,1.47,0.29,14.0,6,4,1,3,18,249,0,0.0,151,0,0,5,0,,,,,,,,,14,2,3.4,22,2.0,4,1.17,0.0,0.0
Mitchell van Bergen,nl NED,21,"FW,MF",Reims,2021-2022,983.0,0.0,0.0,1.2,1.1,1.2,1.3,0.0,12.0,5.0,0.0,0.0,24,14,54,18,1,12,5,61.8,2171,618,27,0,2.47,0.0,8.0,5,4,8,7,12,327,14,60.9,203,1,0,8,0,,,,,,,,,20,11,10.9,49,1.15,-2,-0.18,2.5,41.66666666666667
Steven Bergwijn,nl NED,23,"FW,MF",Tottenham,2021-2022,565.0,3.0,1.0,2.5,1.2,2.5,0.9,4.0,19.0,10.0,0.16,0.3,26,17,53,8,9,6,0,81.4,1756,392,21,3,3.35,0.48,3.0,2,1,3,8,4,258,10,50.0,171,1,0,9,2,,,,,,,,,25,4,6.3,23,1.96,3,0.48,3.4,52.63157894736842
Etrit Berisha,al ALB,32,GK,Torino,2021-2022,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,6,0,0,55.2,5860,4579,0,0,0.0,0.0,0.0,0,0,0,4,0,345,0,,183,1,0,1,0,8.0,32.0,85.4,4.0,10.2,2.2,10.0,14.6,10,10,10.0,90,1.3,-1,-0.1,0.0,
Valon Berisha,xk KVX,28,"MF,FW",Reims,2021-2022,455.0,0.0,1.0,0.2,0.5,0.2,0.5,1.0,4.0,0.0,0.0,,4,20,15,8,13,4,2,67.0,2198,751,10,2,1.98,0.4,10.0,7,4,2,3,14,236,3,60.0,107,2,1,13,0,,,,,,,,,13,5,5.1,35,0.92,-3,-0.59,0.7,0.0
Federico Bernardeschi,it ITA,27,"MF,FW",Juventus,2021-2022,1475.0,1.0,3.0,1.5,2.3,1.5,1.9,4.0,33.0,7.0,0.03,0.14,40,73,111,17,31,22,2,76.4,7374,1931,62,4,3.78,0.24,16.0,10,5,17,15,21,776,32,52.5,468,5,0,16,3,,,,,,,,,28,16,16.4,53,1.75,13,0.79,3.4,21.21212121212121
Paul Bernardoni,fr FRA,24,GK,Angers,2021-2022,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,2,0,0,78.5,7530,4954,1,0,0.08,0.0,3.0,2,0,0,8,3,368,0,,187,0,0,0,0,19.0,27.0,65.2,4.0,15.9,-3.1,14.0,12.5,13,13,13.0,90,1.31,0,0.0,0.0,
Paul Bernardoni,fr FRA,24,GK,Saint-Étienne,2021-2022,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,7,0,0,56.8,9834,7548,0,0,0.0,0.0,0.0,0,0,0,14,0,639,0,,339,0,0,0,0,37.0,58.0,65.6,3.0,31.4,-3.6,56.0,18.9,19,19,19.0,90,1.05,-12,-0.63,0.0,
Juan Bernat,es ESP,28,"DF,MF",Paris S-G,2021-2022,958.0,0.0,0.0,0.1,1.0,0.1,0.7,0.0,1.0,1.0,0.0,0.0,20,30,85,5,37,5,1,92.2,8076,1920,10,1,0.94,0.09,24.0,14,8,3,16,32,771,14,60.9,492,2,0,4,0,,,,,,,,,15,12,10.6,64,2.33,13,1.22,0.7999999999999999,100.0
Dimitry Bertaud,cd COD,23,GK,Montpellier,2021-2022,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,71.2,5837,4461,2,1,0.22,0.11,0.0,0,0,0,5,0,335,0,,211,0,0,0,0,20.0,37.0,68.4,2.0,16.0,-4.0,4.0,11.7,11,9,9.3,76,0.82,-6,-0.65,0.0,
Jason Berthomier,fr FRA,31,MF,Clermont Foot,2021-2022,1732.0,1.0,5.0,1.7,4.7,1.7,3.9,6.0,23.0,4.0,0.04,0.25,26,134,91,46,103,20,6,81.1,18350,4969,89,9,4.63,0.47,29.0,14,8,16,4,37,1558,22,71.0,951,0,0,14,1,,,,,,,,,29,22,19.2,60,0.83,-11,-0.57,5.6,17.391304347826086
Nicolò Bertola,it ITA,18,"MF,DF",Spezia,2021-2022,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,54.5,102,51,0,0,0.0,0.0,3.0,2,3,1,1,6,21,0,,5,0,0,0,0,,,,,,,,,2,0,0.4,18,1.5,-1,-2.57,0.0,100.0
Ryan Bertrand,eng ENG,31,DF,Leicester City,2021-2022,337.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,,2,17,8,0,12,1,0,79.1,2212,828,2,0,0.53,0.0,8.0,5,1,7,7,9,229,0,,101,1,0,3,0,,,,,,,,,4,4,3.7,84,0.5,-2,-0.53,0.0,
Daniel Bessa,it ITA,28,MF,Hellas Verona,2021-2022,768.0,1.0,1.0,0.4,0.6,0.4,0.4,2.0,10.0,2.0,0.1,0.5,16,68,29,10,45,16,0,80.0,5973,1903,26,4,3.05,0.47,7.0,2,5,11,11,12,565,12,75.0,327,5,1,21,0,,,,,,,,,24,5,8.5,32,1.54,1,0.12,0.8,20.0
Beto,gw GNB,23,FW,Udinese,2021-2022,2173.0,11.0,0.0,12.7,0.9,12.7,1.8,11.0,64.0,26.0,0.17,0.42,31,26,119,20,23,11,1,68.2,3463,584,49,3,2.03,0.12,21.0,6,5,5,25,26,719,40,54.1,383,1,0,52,2,,,,,,,,,28,24,24.1,78,1.14,-3,-0.12,14.5,40.625
Jordan Beyer,de GER,21,DF,Gladbach,2021-2022,1384.0,0.0,0.0,0.6,0.6,0.6,0.3,0.0,7.0,0.0,0.0,,25,46,30,5,25,6,2,87.8,14108,4117,24,1,1.67,0.07,46.0,27,15,6,52,61,1110,9,60.0,631,5,0,16,2,,,,,,,,,17,15,15.4,81,1.53,6,0.39,0.8999999999999999,0.0
Giulian Biancone,fr FRA,21,"DF,MF",Troyes,2021-2022,2292.0,1.0,2.0,1.7,1.3,1.7,1.0,3.0,28.0,9.0,0.04,0.11,58,87,100,14,68,18,13,73.4,16275,6666,45,3,1.77,0.12,70.0,42,53,25,71,123,1600,12,44.4,909,10,0,34,4,,,,,,,,,33,26,25.5,69,1.03,-6,-0.24,2.7,32.142857142857146
Bartosz Białek,pl POL,19,"FW,DF",Wolfsburg,2021-2022,178.0,0.0,0.0,0.4,0.1,0.4,0.1,0.0,6.0,2.0,0.0,0.0,1,4,14,2,0,0,0,54.8,348,38,4,0,2.02,0.0,0.0,0,0,2,2,0,66,0,0.0,34,1,0,6,1,,,,,,,,,12,1,2.0,15,1.58,3,1.52,0.5,33.33333333333333
Ermin Bičakčić,ba BIH,31,DF,Hoffenheim,2021-2022,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,100.0,36,11,0,0,0.0,0.0,0.0,0,0,0,0,0,3,0,,2,0,0,0,0,,,,,,,,,1,0,0.1,5,0.0,0,0.0,0.0,
Mads Bidstrup,dk DEN,20,MF,Brentford,2021-2022,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,76.9,140,31,0,0,0.0,0.0,1.0,0,1,1,2,2,20,0,,6,0,0,1,0,,,,,,,,,4,0,0.5,10,1.75,1,2.2,0.0,
Pedro Bigas,es ESP,30,DF,Elche,2021-2022,1551.0,1.0,0.0,0.6,0.4,0.6,0.3,1.0,12.0,3.0,0.08,0.33,14,59,5,5,44,3,1,86.4,15307,5939,12,1,0.7,0.06,24.0,10,18,3,77,42,1114,2,33.3,589,6,0,16,2,,,,,,,,,19,19,17.2,82,1.05,-8,-0.46,0.8999999999999999,25.0
El Bilal Touré,ml MLI,19,FW,Reims,2021-2022,1194.0,2.0,4.0,4.1,0.8,3.3,1.7,6.0,32.0,10.0,0.03,0.1,22,23,78,11,17,6,1,73.3,3005,497,28,7,2.11,0.53,13.0,6,6,5,19,19,489,8,42.1,249,2,0,20,1,,,,,,,,,21,15,13.3,57,1.29,3,0.23,5.0,31.25
Jean-Claude Billong,cm CMR,27,DF,Clermont Foot,2021-2022,980.0,0.0,0.0,0.2,0.1,0.2,0.1,0.0,5.0,1.0,0.0,0.0,4,21,2,1,12,1,1,85.1,8059,2765,4,0,0.37,0.0,17.0,8,10,4,35,27,579,2,66.7,380,2,0,7,0,,,,,,,,,15,10,10.9,65,0.4,-18,-1.65,0.30000000000000004,20.0
Luis Binks,eng ENG,19,DF,Bologna,2021-2022,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,1,17,1,1,12,0,0,80.2,6017,2462,1,0,0.14,0.0,8.0,4,17,3,33,25,415,2,50.0,187,3,0,7,0,,,,,,,,,15,7,7.2,43,1.2,-6,-0.84,0.0,0.0
Cristiano Biraghi,it ITA,28,DF,Fiorentina,2021-2022,3153.0,4.0,1.0,3.1,7.6,1.5,6.1,5.0,36.0,16.0,0.08,0.19,61,171,177,72,145,64,38,80.0,39364,14210,126,8,3.59,0.23,37.0,24,19,55,31,56,2799,12,46.2,1460,5,1,28,1,,,,,,,,,37,37,35.0,85,1.65,7,0.2,7.6,44.44444444444444
Davide Biraschi,it ITA,27,DF,Genoa,2021-2022,930.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,3.0,0.0,0.0,,15,42,11,3,38,6,2,71.7,6059,2526,5,0,0.48,0.0,31.0,16,16,7,26,47,571,15,78.9,291,4,0,12,1,,,,,,,,,14,11,10.3,66,0.71,-13,-1.26,0.2,0.0
Tom Bischof,de GER,16,MF,Hoffenheim,2021-2022,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,1,0,0,0,0,40.0,28,0,0,0,0.0,0.0,0.0,0,0,0,1,0,6,0,,5,0,0,1,0,,,,,,,,,1,0,0.2,14,0.0,0,0.0,0.0,
Yves Bissouma,ml MLI,24,MF,Brighton,2021-2022,2111.0,1.0,2.0,0.9,0.7,0.9,0.8,3.0,21.0,5.0,0.05,0.2,40,92,16,8,73,13,0,88.9,17341,3663,31,4,1.32,0.17,76.0,49,50,15,49,126,1505,34,66.7,839,10,0,30,0,,,,,,,,,26,25,23.5,81,1.54,-1,-0.04,1.7000000000000002,23.809523809523807
Nathan Bitumazala,fr FRA,18,DF,Paris S-G,2021-2022,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,3,0,0,0,0,90.0,124,22,0,0,0.0,0.0,0.0,0,0,0,0,0,12,0,0.0,7,0,0,0,0,,,,,,,,,1,0,0.1,11,3.0,0,0.0,0.0,
Marco Bizot,nl NED,30,GK,Brest,2021-2022,3420.0,0.0,1.0,0.0,0.1,0.0,0.1,1.0,0.0,0.0,,,0,0,0,2,22,0,0,70.5,29158,23011,6,2,0.16,0.05,3.0,1,0,0,24,3,1317,0,,698,1,0,0,0,57.0,115.0,68.8,7.0,51.0,-4.0,34.0,14.1,38,38,38.0,90,1.26,-8,-0.21,0.1,
Bjarki Bjarkason,is ISL,21,MF,Venezia,2021-2022,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,0,0,0,0,50.0,6,2,0,0,0.0,0.0,0.0,0,0,0,0,0,3,0,,3,0,0,0,0,,,,,,,,,1,0,0.0,3,0.0,0,0.0,0.0,
Antonio Blanco,es ESP,21,MF,Real Madrid,2021-2022,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1,0,0,2,0,0,90.0,278,93,1,1,2.9,2.9,2.0,0,1,0,0,3,25,1,100.0,13,0,0,1,0,,,,,,,,,1,0,0.3,31,3.0,2,5.81,0.0,
Ludovic Blas,fr FRA,23,"MF,FW",Nantes,2021-2022,2961.0,10.0,5.0,11.7,2.9,7.8,3.9,15.0,85.0,32.0,0.06,0.16,69,157,190,41,112,29,9,78.9,16142,3862,107,17,3.25,0.52,33.0,18,31,29,6,64,1524,60,40.5,1047,10,0,45,8,,,,,,,,,35,35,32.9,85,1.46,7,0.21,11.7,37.64705882352941
Danny Blum,de GER,30,FW,Bochum,2021-2022,346.0,2.0,0.0,0.8,1.0,0.8,1.1,2.0,11.0,5.0,0.18,0.4,9,10,34,12,9,4,3,61.9,2006,693,19,0,4.94,0.0,2.0,1,2,5,1,4,215,5,62.5,105,0,0,3,0,,,,,,,,,13,2,3.8,27,1.31,2,0.52,1.9000000000000001,45.45454545454545
Myron Boadu,nl NED,20,FW,Monaco,2021-2022,960.0,4.0,1.0,6.6,0.8,6.6,0.6,5.0,21.0,8.0,0.19,0.5,7,11,68,6,11,1,0,76.6,1763,280,22,5,2.07,0.47,9.0,7,2,5,1,11,278,8,50.0,170,0,0,17,3,,,,,,,,,31,7,10.7,31,1.87,2,0.19,7.199999999999999,38.095238095238095
